clae6,letra,clae6_desc,clae2_desc,letra_desc
012490,A,"Cultivo de frutas n.c.p. (Incluye kiwi, arándanos, mora, grosella, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014430,A,Cría de ganado caprino -excepto la realizada en cabañas y para producción de pelos y de leche-,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014910,A,"Apicultura (Incluye la producción de miel, jalea real, polen, propóleo, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
016292,A,Albergue y cuidado de  animales de terceros,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
016140,A,"Servicios de post cosecha (Incluye servicios de lavado de papas,  acondicionamiento, limpieza, etc, de granos antes de ir a los mercados primarios), (Excluye los servicios de procesamiento de semillas para su siembra)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
016299,A,Servicios de apoyo pecuarios n.c.p.,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
012420,A,"Cultivo de frutas secas (Incluye almendra, avellana, castaña, nuez, pistacho, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014820,A,Producción de huevos,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
016220,A,"Servicios de contratistas de mano de obra pecuaria (Incluye arreo, castración de aves, pasturaje,  etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014113,A,"Cría de ganado bovino, excepto la realizada en cabañas y para la producción de leche (Incluye: ganado bubalino)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
011509,A,"Cultivo de plantas para la obtención de fibras n.c.p. (Incluye abacá, cáñamo, formio, lino textil, maíz de Guinea, ramio, yute, etc.)","Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
016210,A,Inseminación artificial y servicios n.c.p. para mejorar la reproducción de los animales y el rendimiento de sus productos,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
014420,A,Cría de ganado ovino realizada en cabañas,"Agricultura, ganadería, caza y servicios relacionados","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
