Cueanexo,provincia,Departamento,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario,Secundario - INET,SNU,SNU - INET
020020300,CABA,COMUNA 15,0,1,1,1,0,0,0
020020600,CABA,COMUNA 12,0,1,1,0,0,0,0
020020700,CABA,COMUNA 12,0,0,1,0,0,0,0
020020800,CABA,COMUNA 12,0,0,1,0,0,0,0
020020900,CABA,COMUNA 15,1,1,1,1,0,0,0
020021200,CABA,COMUNA 14,1,1,0,0,0,0,0
020021300,CABA,COMUNA 13,0,0,1,0,0,0,0
020021400,CABA,COMUNA 5,0,0,1,0,0,0,0
020021500,CABA,COMUNA 11,0,0,1,0,0,0,0
020021600,CABA,COMUNA 11,0,0,1,0,0,0,0
020021700,CABA,COMUNA 13,1,1,1,1,0,0,0
020021800,CABA,COMUNA 13,1,1,1,1,0,0,0
020021900,CABA,COMUNA 11,0,0,1,0,0,0,0
020022000,CABA,COMUNA 11,1,1,0,0,0,0,0
020022001,CABA,COMUNA 7,0,1,0,0,0,0,0
020022002,CABA,COMUNA 7,0,1,0,0,0,0,0
020022003,CABA,COMUNA 7,0,1,0,0,0,0,0
020022100,CABA,COMUNA 15,0,0,1,0,0,0,0
020022200,CABA,COMUNA 15,0,0,0,0,0,0,0
020022300,CABA,COMUNA 15,1,1,1,1,0,0,0
020022400,CABA,COMUNA 15,1,1,1,0,0,0,0
020022500,CABA,COMUNA 15,0,1,1,0,0,0,0
020023000,CABA,COMUNA 12,0,0,1,0,0,0,0
020023100,CABA,COMUNA 12,0,1,1,1,0,0,0
020023200,CABA,COMUNA 1,0,0,0,0,0,1,0
020023300,CABA,COMUNA 1,0,0,0,0,0,1,0
020023400,CABA,COMUNA 15,0,1,1,0,0,0,0
020023500,CABA,COMUNA 15,0,0,0,1,0,0,0
020023600,CABA,COMUNA 5,0,0,1,0,0,0,0
020023700,CABA,COMUNA 12,0,0,1,0,0,0,0
020023800,CABA,COMUNA 10,0,0,0,0,0,0,0
020023900,CABA,COMUNA 14,0,1,0,0,0,0,0
020023901,CABA,COMUNA 13,0,1,0,0,0,0,0
020024000,CABA,COMUNA 11,0,0,0,0,0,1,1
020024300,CABA,COMUNA 1,0,0,0,0,0,0,0
020024800,CABA,COMUNA 2,1,1,1,1,0,0,0
020024900,CABA,COMUNA 1,0,1,0,0,0,0,0
020024902,CABA,COMUNA 1,0,1,0,0,0,0,0
020024903,CABA,COMUNA 1,0,1,0,0,0,0,0
020025000,CABA,COMUNA 1,0,0,1,0,0,0,0
020025100,CABA,COMUNA 1,0,0,1,0,0,0,0
020025300,CABA,COMUNA 7,0,1,1,1,0,0,0
020025400,CABA,COMUNA 8,0,1,1,0,0,0,0
020025500,CABA,COMUNA 8,0,1,0,0,0,0,0
020025600,CABA,COMUNA 5,0,0,0,0,0,1,1
020025700,CABA,COMUNA 6,0,0,0,0,0,0,0
020025800,CABA,COMUNA 9,0,0,0,0,0,0,0
020025900,CABA,COMUNA 8,0,0,0,0,0,0,0
020026000,CABA,COMUNA 10,0,0,0,0,0,0,0
020026100,CABA,COMUNA 10,0,0,0,0,0,0,0
020026200,CABA,COMUNA 10,0,0,0,0,0,0,0
020026300,CABA,COMUNA 11,0,0,0,0,0,0,0
020026400,CABA,COMUNA 13,1,1,1,1,0,0,0
020026600,CABA,COMUNA 12,0,0,0,0,0,0,0
