provincia,departamento,clae3,Cant. empleos
Buenos Aires,Tigre,291,6185
Buenos Aires,Monte,101,742
San Juan,Rawson,410,1170
Misiones,General Manuel Belgrano,013,647
Salta,General José de San Martín,410,858
Buenos Aires,Rojas,202,570
San Juan,Zonda,429,861
Buenos Aires,Mercedes,101,877
Buenos Aires,Lincoln,014,437
Buenos Aires,Dolores,014,188
Buenos Aires,Ezeiza,511,2509
Santiago Del Estero,Jiménez,014,48
Buenos Aires,General Villegas,011,452
Buenos Aires,General Pueyrredón,851,4589
Buenos Aires,San Pedro,170,496
Catamarca,Valle Viejo,429,485
Buenos Aires,Ensenada,301,2710
Buenos Aires,Exaltación de la Cruz,240,195
Mendoza,Godoy Cruz,851,1521
Misiones,Oberá,108,1032
Santa Fe,San Martín,101,862
Buenos Aires,25 de Mayo,014,323
La Pampa,Utracán,014,152
Salta,Los Andes,090,937
Jujuy,Santa Bárbara,012,210
Santa Cruz,Lago Argentino,429,978
Santiago Del Estero,San Martín,851,25
Entre Rios,Villaguay,014,250
Neuquen,Pehuenches,091,2048
Cordoba,Colón,851,1335
Entre Rios,La Paz,830,401
Misiones,Iguazú,551,1098
Buenos Aires,Morón,851,3562
Salta,Guachipas,011,81
Jujuy,Palpalá,492,279
Buenos Aires,Saavedra,014,124
Rio Negro,Bariloche,551,1159
Salta,Iruya,103,5
CABA,Comuna 13,851,4978
Entre Rios,Gualeguaychú,852,571
Buenos Aires,Carlos Tejedor,014,144
Jujuy,Cochinoca,429,1155
Rio Negro,General Roca,012,12255
Buenos Aires,Ituzaingó,851,1379
Cordoba,Capital,822,9194
Buenos Aires,Magdalena,151,449
La Pampa,Toay,431,99
Buenos Aires,Lobos,105,175
Buenos Aires,Lomas de Zamora,851,6807
San Juan,Pocito,210,682
Jujuy,Ledesma,107,5679
La Rioja,General Lamadrid,012,4
Cordoba,General San Martín,851,1118
CABA,Comuna 10,801,3588
Misiones,Montecarlo,161,511
Buenos Aires,Pila,011,39
CABA,Comuna 3,801,4863
Corrientes,General Paz,429,125
Chaco,12 de Octubre,131,210
Entre Rios,Victoria,851,256
Buenos Aires,Pilar,851,3950
Entre Rios,Federal,014,276
Tucuman,Lules,011,923
La Pampa,Loventué,014,128
Cordoba,Río Segundo,275,1388
Chubut,Telsen,351,21
Buenos Aires,Coronel Pringles,014,208
Cordoba,Punilla,851,1401
Salta,Santa Victoria,351,2
La Pampa,Puelén,431,466
Mendoza,Capital,801,2217
Chubut,Languiñeo,014,10
La Rioja,Famatina,152,93
Buenos Aires,Florencio Varela,851,2151
Chaco,Maipú,022,110
Buenos Aires,Leandro N. Alem,011,134
Misiones,San Javier,492,158
Jujuy,Dr. Manuel Belgrano,851,1036
Catamarca,Santa María,110,186
Chaco,San Lorenzo,022,42
Chubut,Río Senguer,014,131
Chubut,Sarmiento,091,501
Salta,General Güemes,011,762
Rio Negro,Valcheta,091,75
La Pampa,Catriló,461,181
La Pampa,Maracó,351,274
San Juan,San Martín,110,398
Santa Fe,Constitución,241,2038
Chubut,Rawson,102,1004
Entre Rios,Concordia,012,1024
Buenos Aires,Berazategui,851,2488
Santiago Del Estero,Guasayán,081,38
Chubut,Cushamen,011,151
Santa Fe,Las Colonias,105,899
Buenos Aires,General Viamonte,011,131
Buenos Aires,Pehuajó,014,229
Mendoza,La Paz,421,41
La Pampa,Chalileo,014,11
Catamarca,El Alto,239,230
Buenos Aires,Laprida,014,186
Buenos Aires,Merlo,851,2724
Formosa,Pilcomayo,851,196
Corrientes,Concepción,161,229
Corrientes,Berón de Astrada,106,37
La Pampa,Guatraché,463,52
Rio Negro,El Cuy,012,338
Buenos Aires,Puán,461,166
Buenos Aires,Tres Lomas,014,109
Jujuy,Humahuaca,073,219
Santa Fe,Caseros,461,878
Catamarca,Tinogasta,073,109
Chaco,Independencia,014,101
San Luis,Coronel Pringles,869,303
Chaco,Quitilipi,851,128
San Luis,Juan Martín de Pueyrredón,851,1740
CABA,Comuna 12,801,3461
Buenos Aires,Lezama,104,99
Entre Rios,Diamante,853,677
Mendoza,San Rafael,110,756
Buenos Aires,General Paz,851,84
Santiago Del Estero,Quebrachos,463,18
Buenos Aires,Malvinas Argentinas,851,2510
Buenos Aires,Saladillo,014,233
Buenos Aires,General Pinto,014,192
Buenos Aires,Baradero,293,506
Salta,La Candelaria,011,71
San Juan,Jáchal,073,670
Santiago Del Estero,Salavina,421,25
Cordoba,Totoral,222,320
San Juan,Sarmiento,239,431
Santiago Del Estero,Silípica,410,147
Buenos Aires,Zárate,291,7300
Buenos Aires,Mar Chiquita,014,258
Buenos Aires,Adolfo Alsina,461,132
San Juan,Albardón,239,340
Cordoba,Río Cuarto,851,1131
Buenos Aires,Suipacha,105,142
Tucuman,Juan Bautista Alberdi,016,425
Salta,Anta,011,1538
Tucuman,Yerba Buena,016,3634
Buenos Aires,Azul,101,680
Santiago Del Estero,Copo,852,62
Rio Negro,Avellaneda,012,1320
CABA,Comuna 6,851,2288
Salta,Santa Victoria,472,2
Buenos Aires,9 de Julio,851,276
Catamarca,Andalgalá,073,181
Corrientes,Goya,014,472
Mendoza,Lavalle,463,589
Cordoba,Río Primero,011,409
Mendoza,General Alvear,851,194
Salta,Rivadavia,410,39
Buenos Aires,Capitán Sarmiento,101,1150
San Juan,9 de Julio,293,298
La Rioja,Vinchina,421,127
Buenos Aires,General Alvear,014,148
Cordoba,General Roca,014,511
Jujuy,Yavi,492,47
Formosa,Formosa,410,2815
Santiago Del Estero,Ojo de Agua,471,44
La Pampa,Conhelo,014,118
Chubut,Mártires,351,27
Tucuman,Simoca,016,415
Rio Negro,Ñorquinco,360,12
Santiago Del Estero,Figueroa,012,20
Neuquen,Catán Lil,014,19
Jujuy,Rinconada,073,790
Entre Rios,Federación,012,888
Buenos Aires,Pergamino,013,702
Corrientes,Bella Vista,131,486
Chaco,2 de Abril,011,106
Santiago Del Estero,Mitre,011,4
Chaco,General Donovan,201,314
Buenos Aires,General San Martín,851,3243
Mendoza,Guaymallén,851,1405
Corrientes,Curuzú Cuatiá,014,650
Buenos Aires,Pinamar,551,288
La Rioja,San Blas de Los Sauces,852,34
La Rioja,General San Martín,475,3
Misiones,San Pedro,410,65
Tucuman,Río Chico,152,883
Buenos Aires,Tandil,851,928
Santiago Del Estero,Pellegrini,016,75
Buenos Aires,Lanús,851,3390
Salta,Molinos,429,203
Buenos Aires,La Matanza,851,7919
Mendoza,Junín,012,743
Formosa,Pilagás,104,73
Salta,La Viña,011,68
Corrientes,Itatí,473,41
Santa Cruz,Corpen Aike,429,1709
Chubut,Escalante,091,9878
La Rioja,Chamical,852,66
Rio Negro,Adolfo Alsina,360,653
Chaco,San Fernando,822,5798
Mendoza,Malargüe,091,544
La Rioja,Capital,131,1669
Corrientes,Empedrado,471,39
Mendoza,San Carlos,012,541
Neuquen,Chos Malal,471,81
CABA,Comuna 14,950,5118
Jujuy,San Antonio,011,48
Buenos Aires,San Nicolás,851,1419
Buenos Aires,Lobería,011,259
Tucuman,La Cocha,016,169
Buenos Aires,Monte Hermoso,410,126
Buenos Aires,Villarino,014,273
Formosa,Ramón Lista,472,1
Tierra Del Fuego,Río Grande,264,2063
Buenos Aires,Presidente Perón,491,619
Corrientes,Santo Tomé,108,1027
Buenos Aires,Junín,861,634
Chaco,Chacabuco,011,340
Tucuman,Tafí Viejo,016,1146
Catamarca,Ambato,152,55
Chubut,Tehuelches,014,143
Tucuman,Famaillá,131,857
Buenos Aires,General Rodríguez,105,1987
Jujuy,San Pedro,107,615
San Luis,Belgrano,239,141
Neuquen,Aluminé,852,31
Salta,La Poma,562,9
Tucuman,Tafí del Valle,016,90
Buenos Aires,Florentino Ameghino,014,128
Buenos Aires,General Guido,014,112
San Juan,Caucete,012,389
Entre Rios,Colón,101,2493
Jujuy,El Carmen,011,4062
Buenos Aires,Coronel Suárez,152,380
Cordoba,Calamuchita,351,595
Neuquen,Los Lagos,551,235
Buenos Aires,General Las Heras,108,223
CABA,Comuna 9,101,2308
Buenos Aires,San Miguel,851,2494
Santiago Del Estero,Loreto,852,63
La Rioja,Chilecito,011,767
La Pampa,Lihuel Calel,014,19
San Luis,Gobernador Dupuy,014,311
La Pampa,Chical Co,422,5
Santa Fe,General López,011,1224
San Luis,Junín,139,206
La Rioja,Rosario Vera Peñaloza,015,39
Entre Rios,Paraná,851,1957
Santa Cruz,Deseado,091,4750
Catamarca,La Paz,107,638
Buenos Aires,Escobar,851,2548
Rio Negro,Pilcaniyeu,014,38
Santa Fe,San Jerónimo,271,520
Chaco,Libertad,131,434
Buenos Aires,San Vicente,101,588
Corrientes,General Alvear,014,85
Salta,Capital,410,2956
Catamarca,Capayán,429,516
San Juan,Iglesia,073,1421
Tucuman,Leales,107,802
Santiago Del Estero,Atamisqui,852,26
Cordoba,Unión,282,1114
Buenos Aires,Balcarce,103,836
Corrientes,San Miguel,024,62
Jujuy,Susques,089,532
Misiones,Apóstoles,108,1513
Misiones,Eldorado,161,1040
Corrientes,Esquina,461,494
Buenos Aires,Castelli,014,134
Cordoba,San Javier,351,323
La Pampa,Rancul,014,191
Buenos Aires,Roque Pérez,101,212
Rio Negro,Pichi Mahuida,852,84
CABA,Comuna 4,530,13036
Tucuman,Chicligasta,110,627
Neuquen,Collón Curá,492,114
Santa Fe,Iriondo,310,562
Buenos Aires,Bahía Blanca,492,1456
Buenos Aires,San Isidro,801,4785
Buenos Aires,La Plata,851,6438
Buenos Aires,Moreno,851,2810
Santiago Del Estero,Rivadavia,014,49
Corrientes,Ituzaingó,013,443
Buenos Aires,General Arenales,461,250
Santa Fe,General Obligado,101,1215
Jujuy,Tumbaya,239,133
La Rioja,Castro Barros,110,204
Jujuy,Tilcara,551,61
Santiago Del Estero,Juan Felipe Ibarra,014,30
Buenos Aires,Tres Arroyos,011,510
Buenos Aires,Punta Indio,014,79
Catamarca,Ancasti,801,20
San Luis,Ayacucho,012,115
Santa Fe,Castellanos,293,2248
