Provincia,Departamento,Cant_Expo_Mujeres,Cant_EE,Población
CABA,COMUNA 2,899.0,113,160609.0
BUENOS AIRES,LINCOLN,32.0,113,45191.0
BUENOS AIRES,CORONEL PRINGLES,13.0,112,16044.0
BUENOS AIRES,CORONEL PRINGLES,13.0,112,24110.0
SAN LUIS,CORONEL PRINGLES,11.0,112,16044.0
SAN LUIS,CORONEL PRINGLES,11.0,112,24110.0
SANTIAGO DEL ESTERO,COPO,1.0,112,35653.0
SANTIAGO DEL ESTERO,FIGUEROA,0.0,109,20246.0
BUENOS AIRES,CAÑUELAS,69.0,108,70542.0
CORRIENTES,ESQUINA,9.0,107,39168.0
BUENOS AIRES,BERISSO,20.0,105,100685.0
BUENOS AIRES,BALCARCE,79.0,103,48516.0
SAN JUAN,CHIMBAS,61.0,103,103772.0
SALTA,ANTA,32.0,102,69442.0
JUJUY,EL CARMEN,36.0,101,122259.0
SANTIAGO DEL ESTERO,CHOYA,1.0,101,43692.0
TUCUMAN,CHICLIGASTA,19.0,100,92308.0
CHACO,QUITILIPI,1.0,100,32430.0
CHUBUT,BIEDMA,136.0,97,102806.0
BUENOS AIRES,PATAGONES,29.0,97,37499.0
SANTIAGO DEL ESTERO,ROBLES,8.0,97,53879.0
ENTRE RIOS,TALA,5.0,96,31091.0
BUENOS AIRES,BARADERO,28.0,94,39223.0
SANTIAGO DEL ESTERO,LORETO,1.0,94,24047.0
BUENOS AIRES,LA COSTA,35.0,93,100400.0
BUENOS AIRES,LOBOS,31.0,93,41418.0
CATAMARCA,TINOGASTA,9.0,93,25254.0
BUENOS AIRES,SAN VICENTE,18.0,92,97929.0
JUJUY,LEDESMA,16.0,92,94132.0
TUCUMAN,YERBA BUENA,131.0,91,102589.0
BUENOS AIRES,VILLARINO,84.0,90,32552.0
BUENOS AIRES,GENERAL VILLEGAS,46.0,90,35055.0
BUENOS AIRES,SALADILLO,46.0,87,35423.0
SANTIAGO DEL ESTERO,GENERAL TABOADA,1.0,87,46304.0
TUCUMAN,LULES,65.0,86,93464.0
TUCUMAN,MONTEROS,41.0,85,77469.0
SANTIAGO DEL ESTERO,ALBERDI,8.0,84,20104.0
SAN JUAN,POCITO,68.0,83,72879.0
